Season Box Score
Nuggets
Name, Total Points, 3pt, 3pt %, 2pt, 2pt %, Assist, Rebounds, Blocks 
Name, Total Points, 3pt, 3pt %, 2pt, 2pt %, Assist, Rebounds, Blocks 
John Wall,81,23,0.589744,6,0.461538,7,1,4
Luke Kennard,48,10,0.714286,9,0.9,17,0,7
Kent Bazemore,40,2,0.1,17,0.809524,12,2,2
Darius Bazley,43,7,0.368421,11,0.5,11,4,9
Robin Lopez,66,0,0,33,0.733333,9,3,8
Thunder
Name, Total Points, 3pt, 3pt %, 2pt, 2pt %, Assist, Rebounds, Blocks 
Dennis Schroder,63,13,0.541667,12,0.545455,6,0,14
Lou Williams,57,5,0.416667,21,0.875,14,0,2
Miles Bridges,48,2,0.333333,21,0.84,11,1,2
John Collins,70,10,0.454545,20,0.740741,12,4,11
Kevon Looney,48,0,0,24,0.585366,14,0,7
Hawks
Name, Total Points, 3pt, 3pt %, 2pt, 2pt %, Assist, Rebounds, Blocks 
Jamal Murray,81,17,0.485714,15,0.714286,5,0,9
Klay Thompson,35,5,0.333333,10,0.666667,16,0,0
Dillon Brooks,60,6,0.428571,21,0.875,13,1,6
Tobias Harris,42,6,0.375,12,0.705882,14,6,10
Andre Drummond,68,0,0,34,0.723404,8,2,5
Wizards
Name, Total Points, 3pt, 3pt %, 2pt, 2pt %, Assist, Rebounds, Blocks 
Avery Bradley,74,16,0.390244,13,0.722222,4,0,7
Jalen Suggs,41,3,0.375,16,0.727273,18,0,0
Lugentz Dort,46,6,0.4,14,0.736842,14,0,4
Aaron Gordon,35,3,0.157895,13,0.619048,9,8,8
Nerlens Noel,60,0,0,30,0.714286,9,7,3
Bulls
Name, Total Points, 3pt, 3pt %, 2pt, 2pt %, Assist, Rebounds, Blocks 
Mike Conley,105,27,0.5625,12,0.571429,9,0,14
Jordan Poole,67,9,0.6,20,0.869565,40,0,2
Dorian Finney-Smith,104,14,0.538462,31,0.673913,21,0,6
Marcus Morris,95,13,0.52,28,0.7,36,5,8
Dwight Howard,104,0,0,52,0.852459,19,5,6
Blazers
Name, Total Points, 3pt, 3pt %, 2pt, 2pt %, Assist, Rebounds, Blocks 
Jamal Murray,125,27,0.5,22,0.666667,14,0,10
Klay Thompson,81,13,0.52,21,0.954545,34,0,2
Dillon Brooks,84,8,0.421053,30,0.769231,20,4,2
Tobias Harris,85,11,0.44,26,0.83871,14,5,14
Andre Drummond,96,0,0,48,0.842105,22,4,7
Rockets
Name, Total Points, 3pt, 3pt %, 2pt, 2pt %, Assist, Rebounds, Blocks 
Jrue Holiday,115,25,0.490196,20,0.645161,11,0,12
Terry Rozier,60,10,0.4,15,0.6,26,0,2
Bruno Fernando,94,10,0.357143,32,0.711111,19,4,11
Kelly Olynyk,71,9,0.45,22,0.733333,24,4,17
Derrick Favors,80,2,0.5,37,0.74,14,10,5
Kings
Name, Total Points, 3pt, 3pt %, 2pt, 2pt %, Assist, Rebounds, Blocks 
Fred Vanfleet,125,33,0.532258,13,0.464286,7,0,12
CJ McCollum,81,11,0.611111,24,0.8,24,0,3
Kelly Oubre,72,6,0.25,27,0.658537,21,6,7
Larry Nance,65,9,0.409091,19,0.703704,22,3,10
Hassan Whiteside,84,0,0,42,0.763636,12,9,7
Magic
Name, Total Points, 3pt, 3pt %, 2pt, 2pt %, Assist, Rebounds, Blocks 
Jordan Clarkson,154,38,0.5,20,0.689655,16,0,8
Gary Trent Jr.,84,16,0.571429,18,0.666667,41,1,8
Thanasis Antetokounmpo,124,12,0.444444,44,0.846154,23,1,5
Isaiah Jackson,137,21,0.583333,37,0.72549,25,8,20
Jusuf Nurkic,122,0,0,61,0.7625,30,10,12
Suns
Name, Total Points, 3pt, 3pt %, 2pt, 2pt %, Assist, Rebounds, Blocks 
Mike Conley,179,43,0.558442,25,0.581395,14,0,18
Jordan Poole,89,9,0.428571,31,0.885714,40,0,1
Dorian Finney-Smith,112,8,0.333333,44,0.830189,37,2,4
Marcus Morris,82,10,0.357143,26,0.634146,21,11,14
Dwight Howard,132,2,0.333333,63,0.75,21,15,11
Pistons
Name, Total Points, 3pt, 3pt %, 2pt, 2pt %, Assist, Rebounds, Blocks 
Mike Conley,165,35,0.564516,30,0.588235,16,0,22
Jordan Poole,125,21,0.512195,31,0.704545,41,0,5
Dorian Finney-Smith,170,20,0.47619,55,0.714286,31,2,11
Marcus Morris,114,8,0.258065,45,0.661765,36,9,21
Dwight Howard,149,1,0.111111,73,0.811111,28,15,17
